Stock,Observation Period,Model Accuracy on Training Data,Model Accuracy on Test Data,True Positives,False Positives,False Negative,True Negative
AMZN,Five_Day_Observation_Outcome,0.5878634639696586,0.556866048862679,187,355,171,474
AMZN,Thirty_Day_Observation_Outcome,0.6618204804045512,0.6293176074136478,137,343,97,610
AMZN,Sixty_Day_Observation_Outcome,0.6769911504424779,0.6705981465880371,121,317,74,675
FB,Five_Day_Observation_Outcome,0.6165893271461717,0.5568445475638051,58,130,61,182
FB,Thirty_Day_Observation_Outcome,0.70707656612529,0.7146171693735499,69,95,28,239
FB,Sixty_Day_Observation_Outcome,0.7569605568445475,0.7633410672853829,54,87,15,275
MSFT,Five_Day_Observation_Outcome,0.5708577137148566,0.5639269406392694,225,585,179,763
MSFT,Thirty_Day_Observation_Outcome,0.6536320822035108,0.6449771689497716,139,528,94,991
MSFT,Sixty_Day_Observation_Outcome,0.6847438276009704,0.6775114155251142,123,490,75,1064
